SLOT,"PLAYER, TEAM POS",ACQ,TEAM,Translated Team,Pickup,Translated Name,Last Year Cost,ADV,2014 Keeper Cost
QB,"Ben Roethlisberger, Pit QB",Trade,BOOMGOES THEDYNAMITE (2-11),BOOMGOES THEDYNAMITE,TRUE,"Ben Roethlisberger, Pit", $5.00 , $8.00 , $7.00 
RB,"Joique Bell, Det RB",Draft,BOOMGOES THEDYNAMITE (2-11),BOOMGOES THEDYNAMITE,FALSE,"Joique Bell, Det", $20.00 , $1.00 , $11.00 
RB,"Tre Mason, StL RB",Trade,BOOMGOES THEDYNAMITE (2-11),BOOMGOES THEDYNAMITE,TRUE,"Tre Mason, StL", $-   , $3.20 , $2.00 
WR,"Sammy Watkins, Buf WR",Draft,BOOMGOES THEDYNAMITE (2-11),BOOMGOES THEDYNAMITE,FALSE,"Sammy Watkins, Buf", $9.00 , $14.30 , $12.00 
WR,"DeAndre Hopkins, Hou WR",Trade,BOOMGOES THEDYNAMITE (2-11),BOOMGOES THEDYNAMITE,FALSE,"DeAndre Hopkins, Hou", $7.00 , $21.60 , $14.00 
TE,"Delanie Walker, Ten TE",Free Agency,BOOMGOES THEDYNAMITE (2-11),BOOMGOES THEDYNAMITE,TRUE,"Delanie Walker, Ten", $2.00 , $1.20 , $2.00 
FLEX,"Mike Wallace, Min WR",Draft,BOOMGOES THEDYNAMITE (2-11),BOOMGOES THEDYNAMITE,FALSE,"Mike Wallace, Min", $10.00 , $6.40 , $8.00 
D/ST,Chargers D/ST D/ST,Free Agency,BOOMGOES THEDYNAMITE (2-11),BOOMGOES THEDYNAMITE,TRUE,Chargers D/ST, $-   , $1.00 , $1.00 
K,"Dan Bailey, Dal K",Draft,BOOMGOES THEDYNAMITE (2-11),BOOMGOES THEDYNAMITE,FALSE,"Dan Bailey, Dal", $1.00 , $1.30 , $1.00 
Bench,"Michael Crabtree, Oak WR",Draft,BOOMGOES THEDYNAMITE (2-11),BOOMGOES THEDYNAMITE,FALSE,"Michael Crabtree, Oak", $6.00 , $-   , $3.00 
Bench,"Frank Gore, Ind RB",Draft,BOOMGOES THEDYNAMITE (2-11),BOOMGOES THEDYNAMITE,FALSE,"Frank Gore, Ind", $23.00 , $18.20 , $21.00 
Bench,"Trent Richardson, Oak RB",Draft,BOOMGOES THEDYNAMITE (2-11),BOOMGOES THEDYNAMITE,FALSE,"Trent Richardson, Oak", $9.00 , $1.00 , $5.00 
